,Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,status
0,2001,0.58,0.74,4,215,3,0,0,sales,low,1
1,2002,0.82,0.67,2,202,3,0,0,sales,low,1
2,2003,0.45,0.69,5,193,3,0,0,sales,low,1
3,2004,0.78,0.82,5,247,3,0,0,sales,low,1
4,2005,0.49,0.6,3,214,2,0,0,sales,low,1
5,2006,0.36,0.95,3,206,4,0,0,sales,low,1
6,2007,0.54,0.37,2,176,2,0,0,sales,low,1
7,2008,0.99,0.91,5,136,4,0,0,sales,low,1
8,2009,0.5,0.75,6,127,3,0,0,sales,low,1
9,2010,0.74,0.64,4,268,3,0,0,sales,low,1
10,2011,0.56,0.58,4,258,3,0,0,sales,medium,1
11,2012,0.34,0.39,2,136,3,0,0,sales,medium,1
12,2013,0.48,0.94,5,255,6,0,0,accounting,medium,1
13,2014,0.73,0.62,3,218,3,0,0,accounting,medium,1
14,2015,0.59,0.87,3,268,4,0,0,accounting,medium,1
15,2016,0.81,0.57,3,224,2,0,0,hr,medium,1
16,2017,0.9,0.66,3,231,3,0,0,hr,medium,1
17,2018,0.41,0.84,6,191,6,0,0,hr,medium,1
18,2019,0.89,0.92,4,165,5,0,0,hr,medium,1
19,2020,0.48,0.84,4,252,3,0,0,technical,medium,1
20,2021,0.79,0.97,5,266,2,0,0,technical,medium,1
21,2022,0.98,0.66,5,248,3,0,0,technical,medium,1
22,2023,0.75,0.7,4,144,4,0,0,technical,high,1
23,2024,1.0,0.41,4,174,3,0,0,technical,low,1
24,2025,0.24,0.82,5,179,6,0,0,technical,medium,1
25,2026,0.84,0.43,6,246,4,0,0,technical,medium,1
26,2027,0.56,0.86,4,201,3,1,0,technical,medium,1
27,2028,0.92,0.93,4,208,3,0,0,technical,medium,1
28,2029,0.61,0.98,3,267,3,0,0,technical,low,1
29,2030,0.84,0.77,4,262,4,0,0,technical,low,1
30,2031,0.85,0.59,3,235,3,0,0,support,low,1
31,2032,0.67,0.57,2,160,4,0,0,support,low,1
32,2033,0.54,0.94,4,267,4,0,0,support,low,1
33,2034,0.75,0.56,5,175,4,0,0,support,low,1
34,2035,0.82,0.79,4,224,2,0,0,support,low,1
35,2036,0.76,0.6,4,177,2,0,0,support,low,1
36,2037,0.19,0.53,6,191,4,0,0,support,low,1
37,2038,0.61,0.41,3,138,3,0,0,support,low,1
38,2039,0.51,0.8,3,218,2,1,0,support,low,1
39,2040,0.52,0.88,3,179,2,1,0,support,low,1
40,2041,0.74,0.58,3,241,3,0,0,support,low,1
41,2042,0.98,0.91,4,240,3,0,0,technical,low,1
42,2043,0.71,0.92,3,202,4,0,0,technical,low,1
43,2044,0.33,0.88,6,260,3,0,0,technical,low,1
44,2045,0.98,0.97,3,196,3,0,0,management,low,1
